2025/06/01 13:09:34 counterTest1: [15], counterTest2: [0], counterOther: [0]
2025/06/01 13:09:34 counterTest1: [16], counterTest2: [0], counterOther: [0]
2025/06/01 13:09:34 counterTest1: [17], counterTest2: [0], counterOther: [0]
2025/06/01 13:09:34 counterTest1: [18], counterTest2: [0], counterOther: [0]
2025/06/01 13:09:34 Resubscribed topic(s) [test2]
2025/06/01 13:09:34 counterTest1: [19], counterTest2: [0], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [1], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [2], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [3], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [4], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [5], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [6], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [7], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [8], counterOther: [0]
2025/06/01 13:09:35 counterTest1: [19], counterTest2: [9], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [10], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [11], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [12], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [13], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [14], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [15], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [16], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [17], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [18], counterOther: [0]
2025/06/01 13:09:36 counterTest1: [19], counterTest2: [19], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [20], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [21], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [22], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [23], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [24], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [25], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [26], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [27], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [28], counterOther: [0]
2025/06/01 13:09:37 counterTest1: [19], counterTest2: [29], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [30], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [31], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [32], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [33], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [34], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [35], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [36], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [37], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [38], counterOther: [0]
2025/06/01 13:09:38 counterTest1: [19], counterTest2: [39], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [40], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [41], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [42], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [43], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [44], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [45], counterOther: [0]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [46], counterOther: [0]
2025/06/01 13:09:39 Resubscribed topic(s) [test1]
2025/06/01 13:09:39 counterTest1: [19], counterTest2: [47], counterOther: [0]
2025/06/01 13:09:40 counterTest1: [20], counterTest2: [47], counterOther: [0]
2025/06/01 13:09:40 counterTest1: [21], counterTest2: [47], counterOther: [0]
